Store no., STARHUB ETOP UP $8 , STARHUB ETOP UP $17 , STARHUB ETOP UP $18 , STARHUB ETOP UP $25 , STARHUB ETOP UP $28 , STARHUB ETOP UP $50 , Total $ ,Total Qty
263, $976.00 , $-   , $414.00 , $25.00 , $420.00 , $-   ," $1,835.00 ",161
265, $664.00 , $-   , $576.00 , $-   , $140.00 , $-   ," $1,380.00 ",120
266, $512.00 , $17.00 , $324.00 , $-   , $224.00 , $50.00 ," $1,127.00 ",92
267," $1,280.00 ", $119.00 , $936.00 , $-   , $532.00 , $100.00 ," $2,967.00 ",240
274, $128.00 , $-   , $198.00 , $-   , $140.00 , $-   , $466.00 ,32
275, $408.00 , $17.00 , $324.00 , $-   , $112.00 , $-   , $861.00 ,74
278, $608.00 , $34.00 , $198.00 , $-   , $168.00 , $-   ," $1,008.00 ",95
279, $448.00 , $-   , $774.00 , $50.00 , $392.00 , $-   ," $1,664.00 ",115
281, $336.00 , $17.00 , $72.00 , $-   , $168.00 , $-   , $593.00 ,53
282, $616.00 , $-   , $720.00 , $25.00 , $224.00 , $-   ," $1,585.00 ",126
285, $528.00 , $34.00 , $306.00 , $-   , $392.00 , $-   ," $1,260.00 ",99
288, $784.00 , $-   , $414.00 , $-   , $196.00 , $-   ," $1,394.00 ",128
289, $128.00 , $-   , $252.00 , $-   , $336.00 , $-   , $716.00 ,42
290," $1,280.00 ", $34.00 , $612.00 , $-   , $392.00 , $50.00 ," $2,368.00 ",211
292, $720.00 , $68.00 , $828.00 , $25.00 , $476.00 , $150.00 ," $2,267.00 ",161
293, $240.00 , $17.00 , $252.00 , $25.00 , $224.00 , $-   , $758.00 ,54
296," $2,360.00 ", $51.00 ," $1,116.00 ", $50.00 , $756.00 , $100.00 ," $4,433.00 ",391
298," $3,248.00 ", $306.00 ," $2,502.00 ", $25.00 ," $2,380.00 ", $100.00 ," $8,561.00 ",651
300," $1,944.00 ", $255.00 ," $1,152.00 ", $-   ," $1,036.00 ", $-   ," $4,387.00 ",359
301, $200.00 , $-   , $522.00 , $-   , $168.00 , $250.00 ," $1,140.00 ",65
303, $816.00 , $-   , $450.00 , $25.00 , $196.00 , $-   ," $1,487.00 ",135
304, $312.00 , $34.00 , $342.00 , $-   , $420.00 , $-   ," $1,108.00 ",75
306, $488.00 , $34.00 , $270.00 , $-   , $112.00 , $-   , $904.00 ,82
